0 [main] DEBUG MorseCodeTranslator  - Inside the MorseCodeTranslator's 1-arg constructor: FNAME[input.txt]
16 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[a] S[.-]
16 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[b] S[-...]
16 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[c] S[-.-.]
16 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[d] S[-..]
16 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[e] S[.]
16 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[f] S[..-.]
16 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[g] S[--.]
16 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[h] S[....]
16 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[i] S[..]
16 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[j] S[.---]
16 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[k] S[-.-]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[l] S[.-..]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[m] S[--]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[n] S[-.]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[o] S[---]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[p] S[-..-]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[q] S[--.-]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[r] S[.-.]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[s] S[...]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[t] S[-]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[u] S[..-]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[v] S[...-]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[w] S[.--]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[x] S[-..-]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[y] S[-.--]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[z] S[--..]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[.] S[.-.-.-]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[,] S[--..--]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[?] S[..--..]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[/] S[-..-.]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[@] S[.--.-.]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[1] S[.----]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[2] S[..---]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[3] S[...--]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[4] S[....-]
32 [main] DEBUG MorseCodeSymbol  - Inside the MorseCodeSymbol's 2-arg constructor: L[5] S[.....]
